Team,Event_Id,Time,Type
Arizona Diamondbacks,9718382,13984,
Arizona Diamondbacks,9718456,13307,
Arizona Diamondbacks,9718455,12333,
Arizona Diamondbacks,9718453,11191,
Arizona Diamondbacks,9718384,15077,
Arizona Diamondbacks,9718458,12935,
Arizona Diamondbacks,9718416,12894,
Arizona Diamondbacks,9718430,13480,
Arizona Diamondbacks,9718438,14425,
Arizona Diamondbacks,9718441,14222,
Arizona Diamondbacks,9718449,11760,
Arizona Diamondbacks,9718463,13300,
Arizona Diamondbacks,9718375,11757,
Arizona Diamondbacks,9718434,11477,
Arizona Diamondbacks,9718417,12918,
Arizona Diamondbacks,9718428,11396,
Arizona Diamondbacks,9718431,12935,
Arizona Diamondbacks,9718464,14629,
Arizona Diamondbacks,9718435,15505,
Arizona Diamondbacks,9718446,13913,
Arizona Diamondbacks,9718460,16084,
Arizona Diamondbacks,9718372,12686,
Arizona Diamondbacks,9718462,12788,
Arizona Diamondbacks,9718433,13140,
Arizona Diamondbacks,9718444,14047,
Arizona Diamondbacks,9718445,13259,
Arizona Diamondbacks,9718461,12800,
Arizona Diamondbacks,9718440,15083,
Arizona Diamondbacks,9718394,13312,
Arizona Diamondbacks,9718374,14116,
Arizona Diamondbacks,9718366,14649,
Arizona Diamondbacks,9718436,12145,
Arizona Diamondbacks,9718447,11710,
San Diego Padres,9717103,13764,
San Diego Padres,9717162,11336,
San Diego Padres,9717104,13282,
San Diego Padres,9717119,11722,
San Diego Padres,9717115,13982,
San Diego Padres,9717117,10961,
San Diego Padres,9717084,16305,
San Diego Padres,9717082,13647,
San Diego Padres,9717083,16574,
San Diego Padres,9717165,12224,
San Diego Padres,9717163,10645,
San Diego Padres,9717105,13637,
San Diego Padres,9717164,11175,
San Diego Padres,9717123,12958,
San Diego Padres,9717134,14484,
San Diego Padres,9717145,11807,
San Diego Padres,9717057,18903,
San Diego Padres,9717060,12043,
San Diego Padres,9717101,14786,
San Diego Padres,9717135,12249,
San Diego Padres,9717146,12515,
San Diego Padres,9717160,13051,
San Diego Padres,9717050,12018,
San Diego Padres,9717102,14123,
San Diego Padres,9717113,14334,
San Diego Padres,9717121,13992,
San Diego Padres,9717129,13546,
San Diego Padres,9717132,11453,
San Diego Padres,9717154,12615,
San Diego Padres,9717141,12403,
San Diego Padres,9717088,11907,
San Diego Padres,9717127,13819,
San Diego Padres,9717130,11693,
San Diego Padres,9717122,11847,
San Diego Padres,9717133,11722,
San Diego Padres,9717144,12159,
San Diego Padres,9717089,12021,
San Diego Padres,9717100,12650,
San Diego Padres,9717111,12502,
San Diego Padres,9717128,14272,
San Diego Padres,9717131,12986,
San Diego Padres,9717153,13220,
San Diego Padres,9717125,14149,
San Diego Padres,9717161,13529,
San Diego Padres,9717098,13473,
San Diego Padres,9717055,13295,
San Diego Padres,9717099,14254,
Toronto Blue Jays,9715628,18509,
San Diego Padres,9717149,14867,
Toronto Blue Jays,9715631,19338,
San Diego Padres,9717152,12858,
Toronto Blue Jays,9715596,17144,
San Diego Padres,9717053,12195,
San Diego Padres,9717097,12845,
Toronto Blue Jays,9715549,16320,
San Diego Padres,9717142,13897,
Toronto Blue Jays,9715629,18986,
San Diego Padres,9717136,14943,
Toronto Blue Jays,9715632,17501,
San Diego Padres,9717120,11242,
San Diego Padres,9717147,11495,
Toronto Blue Jays,9715676,17056,
San Diego Padres,9717150,14091,
Toronto Blue Jays,9715594,14474,
San Diego Padres,9717054,11762,
Toronto Blue Jays,9715624,16640,
San Diego Padres,9717090,17845,
Toronto Blue Jays,9715635,18226,
San Diego Padres,9717051,13336,
San Diego Padres,9717114,13622,
Toronto Blue Jays,9715668,18181,
San Diego Padres,9717140,13506,
Toronto Blue Jays,9715671,18332,
San Diego Padres,9717126,12623,
Toronto Blue Jays,9715679,17360,
San Diego Padres,9717148,11413,
San Diego Padres,9717159,14064,
Toronto Blue Jays,9715595,20592,
San Diego Padres,9717049,16531,
Toronto Blue Jays,9715669,18587,
San Diego Padres,9717052,15394,
Toronto Blue Jays,9715633,17770,
San Diego Padres,9717137,14892,
San Diego Padres,9717138,12421,
Toronto Blue Jays,9715680,17440,
San Diego Padres,9717109,13051,
Toronto Blue Jays,9715626,19214,
San Diego Padres,9717094,13515,
Toronto Blue Jays,9715673,17142,
San Diego Padres,9717095,11829,
San Diego Padres,9717096,14596,
Toronto Blue Jays,9715486,18776,
San Diego Padres,9717107,12520,
Toronto Blue Jays,9715667,17752,
San Diego Padres,9717106,13871,
Toronto Blue Jays,9715670,16957,
San Diego Padres,9717091,11777,
San Diego Padres,9717092,15942,
Toronto Blue Jays,9715674,18526,
San Diego Padres,9717158,19959,
Toronto Blue Jays,9715622,23800,
San Diego Padres,9717155,12794,
Toronto Blue Jays,9715592,18207,
San Diego Padres,9717156,12271,
San Diego Padres,9717157,15661,
Toronto Blue Jays,9715581,17216,
San Diego Padres,9717093,11126,
Toronto Blue Jays,9715593,15917,
Toronto Blue Jays,9715582,15988,
Toronto Blue Jays,9715587,16586,
Toronto Blue Jays,9715588,16543,
Toronto Blue Jays,9715591,14505,
Toronto Blue Jays,9715586,16773,
Toronto Blue Jays,9715584,17369,
Toronto Blue Jays,9715589,16297,
Chicago Cubs,9722542,13212,
Toronto Blue Jays,9715651,17065,
Chicago Cubs,9722553,14728,
Toronto Blue Jays,9715653,19466,
Chicago Cubs,9722597,15546,
Toronto Blue Jays,9715652,20096,
Chicago Cubs,9723599,16436,
Toronto Blue Jays,9715603,18878,
Chicago Cubs,9722576,17953,
Chicago Cubs,9722620,15166,
Toronto Blue Jays,9715605,18965,
Chicago Cubs,9723535,19982,
Toronto Blue Jays,9715598,25198,
Chicago Cubs,9723519,14618,
Toronto Blue Jays,9715470,19003,
Chicago Cubs,9722480,13230,
Toronto Blue Jays,9715462,18192,
Chicago Cubs,9723602,17672,
Chicago Cubs,9722541,12686,
Toronto Blue Jays,9715464,17639,
Chicago Cubs,9722585,14951,
Toronto Blue Jays,9715608,17436,
Chicago Cubs,9723604,17457,
Toronto Blue Jays,9715611,19232,
Chicago Cubs,9722965,13765,
Toronto Blue Jays,9715619,15845,
Chicago Cubs,9722957,12686,
Chicago Cubs,9722968,15251,
Toronto Blue Jays,9715612,18831,
Chicago Cubs,9722971,13477,
Toronto Blue Jays,9715614,17855,
Chicago Cubs,9723408,15305,
Toronto Blue Jays,9715610,18095,
Chicago Cubs,9723006,16832,
Toronto Blue Jays,9715662,16591,
Chicago Cubs,9723523,15446,
Toronto Blue Jays,9715617,16220,
Chicago Cubs,9723589,14634,
Toronto Blue Jays,9715620,17462,
Chicago Cubs,9722582,13702,
Chicago Cubs,9722601,13922,
Toronto Blue Jays,9715616,17538,
Chicago Cubs,9723503,15484,
Toronto Blue Jays,9715570,21324,
Chicago Cubs,9722986,15290,
Toronto Blue Jays,9715568,19295,
Chicago Cubs,9722558,11989,
Chicago Cubs,9722613,15843,
Toronto Blue Jays,9715571,19042,
Chicago Cubs,9723348,16372,
Toronto Blue Jays,9715569,24330,
Chicago Cubs,9723463,15731,
Toronto Blue Jays,9715465,18056,
