2016-02-07 15:39:14,35 days 3:50:45.787686,245875,Baseline Floor 116 - Rows B-M,3468,1783.4274266144785,31,596.3815384615384,412.69,839.88,138.09242617487718,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,245876,Baseline Floor 117 - Rows B-M,3468,1783.4274266144785,12,730.5728571428572,524.34,1300.56,266.88385556879473,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,610427,Lower Corner 117,3468,1783.4274266144785,41,446.42071428571427,309.84,606.75,109.76063381378626,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,1495207,San Manuel Club Lounge 2,3468,1783.4274266144785,4,395.75,395.75,395.75,0.0,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,350039,Courtside 115,3468,1783.4274266144785,2,7867.5,7867.5,7867.5,0.0,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242008,Courtside 101,3468,1783.4274266144785,4,4284.55,2180.5,6388.6,2104.0500000000002,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,350041,Courtside 107,3468,1783.4274266144785,2,2024.01,2024.01,2024.01,0.0,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,350042,Courtside 106,3468,1783.4274266144785,2,9077.5,9077.5,9077.5,0.0,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242011,Courtside 111,3468,1783.4274266144785,4,15190.145,14796.29,15584.0,393.85499999999956,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242012,Courtside 112,3468,1783.4274266144785,16,6723.625714285715,2543.5,13049.05,4274.8370168726306,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242013,Courtside 119,3468,1783.4274266144785,14,3458.75,2846.0,4413.7,608.54304079497933,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242014,Lower Center 101,3468,1783.4274266144785,47,1182.7006666666666,573.95,1793.3,324.53314672960943,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242015,Lower Center 102,3468,1783.4274266144785,46,1264.543125,789.0,1926.4,371.43976518270682,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242016,Lower Center 110,3468,1783.4274266144785,36,87380.53214285716,516.75,1210001.29,311359.20359059417,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242017,Lower Center 111,3468,1783.4274266144785,38,1099.4135714285715,749.4,1763.11,302.15852777751195,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242018,Lower Center 112,3468,1783.4274266144785,30,1001.0330769230768,577.25,1855.63,328.93279506223706,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242019,Lower Center 119,3468,1783.4274266144785,46,1012.9568750000001,666.77,1333.5,178.6770652853476,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242020,Lower Baseline 103,3468,1783.4274266144785,24,659.4042857142857,465.05,891.85,141.28026430337911,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242021,Lower Corner 104,3468,1783.4274266144785,20,589.2885714285715,408.18,810.26,150.07386775742626,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242022,Lower Corner 105,3468,1783.4274266144785,14,530.9216666666667,358.24,910.0,183.73001609396567,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242023,Lower Corner 108,3468,1783.4274266144785,81,437.30000000000007,280.8,930.53,139.63342050321825,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242024,Lower Baseline 109,3468,1783.4274266144785,48,775.6893749999999,409.27,1761.65,422.66298830257119,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242025,Lower Baseline 113,3468,1783.4274266144785,23,575.8355555555556,398.48,668.0,89.533293014524446,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242026,Lower Corner 114,3468,1783.4274266144785,52,589.9411111111112,325.95,1299.1,257.46210204155159,33,17,7 3,SECTION
2016-02-07 15:39:14,35 days 3:50:45.787686,242028,Lower Baseline 118,3468,1783.4274266144785,36,626.525,464.52,921.27,153.5938033418015,33,17,7 3,SECTION
