Event_Id,Event_Time,Seat_15_Barcode,Seat_16_Barcode,Listing_ID,
9710914,2017-08-06 17:10:00+00:00,G6U7-VCTXFXHS,G6U7-PRU234RJ,,2017-08-06
9710960,2017-08-08 23:10:00+00:00,D6U7-NLH278LY,D6U7-TSV247SC,,2017-08-08
9710961,2017-08-09 16:10:00+00:00,A6U7-UJPGABWR,A6U7-TSV947SC,,2017-08-09
9710970,2017-08-16 23:10:00+00:00,E6U7-ZKW99KQ,E6U7-UJPDFAWR,,2017-08-16
9710971,2017-08-17 23:10:00+00:00,B6U7-ZKW279KQ,B6U7-HYNXGEVL,,2017-08-17
9710924,2017-08-18 23:10:00+00:00,F6U7-UJPXFAWR,F6U7-WQZXMDUK,,2017-08-18
9710925,2017-08-19 23:10:00+00:00,C6U7-WQZMMDUK,C6U7-NLH793LY,,2017-08-19
9710926,2017-08-20 17:10:00+00:00,Q6U7-PRU745RJ,Q6U7-UJPDEAWR,,2017-08-20
9710908,2017-08-21 23:10:00+00:00,J6U7-ZKW269KQ,J6U7-HYNXXEVL,,2017-08-21
9710909,2017-08-22 23:10:00+00:00,Y6U7-UJPXEAWR,Y6U7-WQZXDDUK,,2017-08-22
9710910,2017-08-23 23:10:00+00:00,H6U7-NLH923LY,H6U7-WQZGDDUK,,2017-08-23
9710911,2017-08-24 16:10:00+00:00,U6U7-VCTGBGHS,U6U7-WYZXXMUK,,2017-08-24
9710954,2017-09-04 17:10:00+00:00,W6U7-PSU684RJ,W6U7-VJTDEXHS,,2017-09-04
9710955,2017-09-05 23:10:00+00:00,V6U7-WYZDXMUK,V6U7-UCPDBBWR,,2017-09-05
9710956,2017-09-06 23:10:00+00:00,S6U7-PSU644RJ,S6U7-VJTDAXHS,,2017-09-06
9710962,2017-09-07 23:10:00+00:00,K6U7-WYZDMMUK,K6U7-ZLW762KQ,,2017-09-07
9710963,2017-09-08 23:10:00+00:00,R6U7-UCPGEBWR,R6U7-TRV987SC,,2017-09-08
9710964,2017-09-09 23:10:00+00:00,L6U7-ZLW962KQ,L6U7-PSU954RJ,,2017-09-09
9710965,2017-09-10 17:10:00+00:00,N6U7-VJTXBXHS,N6U7-PSU254RJ,,2017-09-10
9710940,2017-09-22 23:10:00+00:00,P6U7-NKH228LY,P6U7-VJTMEGHS,,2017-09-22
9710942,2017-09-23 23:10:00+00:00,Z6U7-NKH963LY,Z6U7-WYZGXDUK,,2017-09-23
9710944,2017-09-24 17:10:00+00:00,T6U7-VJTGEGHS,T6U7-HQNGDEVL,,2017-09-24
9710894,2017-09-25 23:10:00+00:00,79U7-PSU645RJ,79U7-VJTDAGHS,,2017-09-25
9710895,2017-09-26 23:10:00+00:00,29U7-WYZDMDUK,29U7-ZLW769KQ,,2017-09-26
9710896,2017-09-27 17:10:00+00:00,69U7-UCPGEAWR,69U7-TRV986SC,,2017-09-27
