Event_Id,Listing_ID,Seat_15_Barcode,Seat_16_Barcode,Date,,,,
9710956,1232289531,S6U7-PSU644RJ,S6U7-VJTDAXHS,9/6/17,,,,
9710962,1232289506,K6U7-WYZDMMUK,K6U7-ZLW762KQ,9/7/17,,,,
9710963,1232289512,R6U7-UCPGEBWR,R6U7-TRV987SC,9/8/17,,,,
9710964,1232289513,L6U7-ZLW962KQ,L6U7-PSU954RJ,9/9/17,,,,
9710965,1232289514,N6U7-VJTXBXHS,N6U7-PSU254RJ,9/10/17,,,,
9710940,1232289561,P6U7-NKH228LY,P6U7-VJTMEGHS,9/22/17,,,,
9710942,1232289549,Z6U7-NKH963LY,Z6U7-WYZGXDUK,9/23/17,,,,
9710944,1232289553,T6U7-VJTGEGHS,T6U7-HQNGDEVL,9/24/17,,,,
9710894,1232289529,79U7-PSU645RJ,79U7-VJTDAGHS,9/25/17,,,,
9710895,1232289535,29U7-WYZDMDUK,29U7-ZLW769KQ,9/26/17,,,,
9710896,1232289562,69U7-UCPGEAWR,69U7-TRV986SC,9/27/17,,,,
9710889,,,,,,,,
9710890,,,,,,,,
9710918,,,,,,,,
9710919,,,,,,,,
9710920,,,,,,,,
9710948,,,,,,,,
9710949,,,,,,,,
9710950,,,,,,,,
9710927,,,,,,,,
9710928,,,,,,,,
9710929,,,,,,,,
9710891,,,,,,,,
9710892,,,,,,,,
9710893,,,,,,,,
9710921,,,,,,,,
9710922,,,,,,,,
9710923,,,,,,,,
9710915,,,,,,,,
9710916,,,,,,,,
9710917,,,,,,,,
9710882,,,,,,,,
9710883,,,,,,,,
9710884,,,,,,,,
9710945,,,,,,,,
9710946,,,,,,,,
9710947,,,,,,,,
9710897,,,,,,,,
9710898,,,,,,,,
9710899,,,,,,,,
9710900,,,,,,,,
9710957,,,,,,,,
9710958,,,,,,,,
9710959,,,,,,,,
9710905,,,,,,,,
9710906,,,,,,,,
9710907,,,,,,,,
9710931,,,,,,,,
9710933,,,,,,,,
9710935,,,,,,,,
9710937,,,,,,,,
9710951,,,,,,,,
9710952,,,,,,,,
9710953,,,,,,,,
9710966,,,,,,,,
9710967,,,,,,,,
9710968,,,,,,,,
9710901,,,,,,,,
9710902,,,,,,,,
9710903,,,,,,,,
9710904,,,,,,,,
9710885,,,,,,,,
9710886,,,,,,,,
9710887,,,,,,,,
9710912,,,,,,,,
9710913,,,,,,,,
9710914,,,,,,,,
9710960,,,,,,,,
9710961,,,,,,,,
9710970,,,,,,,,
9710971,,,,,,,,
9710924,,,,,,,,
9710925,,,,,,,,
9710926,,,,,,,,
9710908,,,,,,,,
9710909,,,,,,,,
9710910,,,,,,,,
9710911,,,,,,,,
9710954,,,,,,,,
9710955,,,,,,,,
9710956,,,,,,,,
9710962,,,,,,,,
9710963,,,,,,,,
9710964,,,,,,,,
9710965,,,,,,,,
9710940,,,,,,,,
9710942,,,,,,,,
9710944,,,,,,,,
9710894,,,,,,,,
9710895,,,,,,,,
9710896,,,,,,,,
